Clone_From_Item_Id, Clone_To_Event_Id, Name, Capacity, Price, Phase_Group_Name, Phase_Group_Capacity
670e71e706056e26c01133ec,67601921ff7733b6863a85d6,Grand Stand L4,346,0,Grand Stand L4,346
670e72678d3951c90166a8e9,67601921ff7733b6863a85d6,Grand Stand L3,389,0,Grand Stand L3,389
670e73dd9b1d0ef8e13c40fa,67601921ff7733b6863a85d6,President Box,200,0,President Box,200
670e7450011055afef93a8e1,67601921ff7733b6863a85d6,Garware Pavilion A L3,650,0,Garware Pavilion A L3,650
670e75dd8c78ff1cec55c325,67601921ff7733b6863a85d6,Garware Pavilion B L3,489,0,Garware Pavilion B L3,489
670e764ba4b9fc57c8bca11c,67601921ff7733b6863a85d6,Garware Pavilion C L3,462,0,Garware Pavilion C L3,462
670e77dc8d3951c90167d79e,67601921ff7733b6863a85d6,Garware Pavilion D L3,451,0,Garware Pavilion D L3,451
670e782f7753a74548355f7e,67601921ff7733b6863a85d6,Garware Pavilion E L2,216,0,Garware Pavilion E L2,216
670e788c6d3d5ff40998a0af,67601921ff7733b6863a85d6,Garware Pavilion F L2,132,0,Garware Pavilion F L2,132
670e78e48aeae29362ba1638,67601921ff7733b6863a85d6,Garware Pavilion G L2,213,0,Garware Pavilion G L2,213
670e7966c4a87985a9708eeb,67601921ff7733b6863a85d6,Garware Pavilion H L2,198,0,Garware Pavilion H L2,198
670e79cd9b02a33ab3841930,67601921ff7733b6863a85d6,Garware Pavilion I L1,500,0,Garware Pavilion I L1,500
670e7b4c5ed18ef01517f6fe,67601921ff7733b6863a85d6,Garware Pavilion J L1,340,0,Garware Pavilion J L1,340
670e95ffb81fdb94b2de36a3,67601921ff7733b6863a85d6,Garware Pavilion K L1,401,0,Garware Pavilion K L1,401
670e965c996d14521c6f96cd,67601921ff7733b6863a85d6,Garware Pavilion L L1,344,0,Garware Pavilion L L1,344
670ed19ffd1e109469b57ffd,67601921ff7733b6863a85d6,MCA Pavilion J L1,403,0,MCA Pavilion J L1,403
