Complex Group,Product Name,Merchant Id,MRP,Price,Brand,Vertical Id,Validate,Status,Fulfillment Service,Managed By Paytm,Salesforce Case Id,Merchant SKU,Return Policy Id,Category Id 1,Image Folder,Prefetch Title,videos,video_thumbnail,Online,Paytm SKU,ProductId,,,
1678091383169A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_9,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711EC85709,343974455,,,
1678091383162A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_2,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671891A8E81,343974461,,,
1678091383179A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_19,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713C1C9D7E,343974462,,,
1678091383194A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_34,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671709B8341,343974468,,,
1678091383181A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_21,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667119EA468F,343974467,,,
1678091383182A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_22,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667180E31735,343974471,,,
1678091383175A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_15,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667135AAD155,343974469,,,
1678091383184A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_24,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716980B200,343974464,,,
1678091383185A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_25,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711E878296,343974463,,,
1678091383183A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_23,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F7E427A3,343974479,,,
1678091383168A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_8,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667169CF679F,343974470,,,
1678091383195A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_35,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667179CB3D7,343974472,,,
1678091383173A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_13,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DCC97460,343974477,,,
1678091383174A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_14,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667142ADE1C3,343974465,,,
1678091383212A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_52,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671CFA281F2,343974482,,,
1678091383172A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_12,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671ABCE44F6,343974478,,,
1678091383161A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_1,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711013DF3B,343974480,,,
1678091383180A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_20,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716EED7619,343974466,,,
1678091383204A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_44,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713FDA1586,343974481,,,
1678091383214A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_54,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667126C124C7,343974483,,,
1678091383199A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_39,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E2AFFFC,343974487,,,
1678091383200A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_40,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667138B7D19F,343974497,,,
1678091383192A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_32,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667199F82674,343974499,,,
1678091383201A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_41,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566714FB0E109,343974498,,,
1678091383218A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_58,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712F7768EC,343974502,,,
1678091383163A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_3,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FE1DBE17,343974506,,,
1678091383167A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_7,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F9707A0E,343974507,,,
1678091383193A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_33,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671EEFF16E2,343974500,,,
1678091383217A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_57,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671BFC8757D,343974505,,,
1678091383226A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_66,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E3E21628,343974501,,,
1678091383222A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_62,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E48FD231,343974517,,,
1678091383223A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_63,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719388E2A7,343974520,,,
1678091383191A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_31,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F177CE,343974509,,,
1678091383164A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_4,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667160792BB4,343974508,,,
1678091383203A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_43,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A1BE8025,343974512,,,
1678091383190A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_30,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667177F64758,343974510,,,
1678091383208A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_48,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671366C59AD,343974511,,,
1678091383216A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_56,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C8CF45EB,343974503,,,
1678091383205A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_45,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667148DD2510,343974504,,,
1678091383202A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_42,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D6B9B0B3,343974516,,,
1678091383209A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_49,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671416B693B,343974528,,,
1678091383206A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_46,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D1D474AA,343974514,,,
1678091383225A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_65,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717AEB4792,343974515,,,
1678091383230A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_70,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671139A825C,343974529,,,
1678091383231A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_71,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671649DB2CA,343974530,,,
1678091383170A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_10,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667145C025DA,343974526,,,
1678091383186A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_26,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671878ED32C,343974540,,,
1678091383177A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_17,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DBA4B079,343974539,,,
1678091383229A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_69,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671735D0BB9,343974531,,,
1678091383228A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_68,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667145A3B2F,343974532,,,
1678091383166A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_6,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718E774A98,343974541,,,
1678091383178A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_18,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566714B1BADE8,343974542,,,
1678091383242A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_82,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717A0CFFBF,343974533,,,
1678091383254A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_94,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718A746BCB,343974534,,,
1678091383165A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_5,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671177E1B22,343974543,,,
1678091383176A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_16,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671ACA380EF,343974545,,,
1678091383238A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_78,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711D410A6E,343974535,,,
1678091383237A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_77,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718DFE17FF,343974537,,,
1678091383247A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_87,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A660B30,343974536,,,
1678091383221A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_61,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717D86838B,343974551,,,
1678091383232A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_72,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FD94E370,343974553,,,
1678091383171A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_11,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667132C7154C,343974544,,,
1678091383210A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_50,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667121ACE0DE,343974548,,,
1678091383258A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_98,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667183C227E0,343974555,,,
1678091383227A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_67,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667194E526BE,343974552,,,
1678091383220A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_60,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A81B31D,343974550,,,
1678091383188A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_28,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716036FE2B,343974556,,,
1678091383241A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_81,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E305AE05,343974538,,,
1678091383187A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_27,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F089E3BA,343974546,,,
1678091383250A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_90,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718D19AFD2,343974557,,,
1678091383251A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_91,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FA1E9F44,343974558,,,
1678091383207A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_47,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A6D3443C,343974547,,,
1678091383189A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_29,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711731CEBD,343974562,,,
1678091383286A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_126,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667149CDE379,343974577,,,
1678091383285A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_125,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D0C4B2C3,343974578,,,
1678091383253A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_93,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711410FE68,343974563,,,
