itemid,Stand Name,total
6761205d0554842b3d9c18cd,Grand Stand L4,600
6761205d0554842b3d9c18d0,Grand Stand L3,600
6761205d0554842b3d9c18d3,President Box,400
6761205d0554842b3d9c18d6,Garware Pavilion A L3,900
6761205d0554842b3d9c18d9,Garware Pavilion B L3,700
6761205e0554842b3d9c18dc,Garware Pavilion C L3,700
6761205e0554842b3d9c18df,Garware Pavilion D L3,700
6761205e0554842b3d9c18e2,Garware Pavilion E L2,400
6761205e0554842b3d9c18e5,Garware Pavilion F L2,250
6761205f0554842b3d9c18e8,Garware Pavilion G L2,400
6761205f0554842b3d9c18eb,Garware Pavilion H L2,400
6761205f0554842b3d9c18ee,Garware Pavilion I L1,800
6761205f0554842b3d9c18f1,Garware Pavilion J L1,600
6761205f0554842b3d9c18f4,Garware Pavilion K L1,750
676120600554842b3d9c18f7,Garware Pavilion L L1,700
676120600554842b3d9c18fa,MCA Pavilion J L1,750
676120600554842b3d9c18fd,MCA Pavilion K L1,750
676120600554842b3d9c1900,MCA Pavilion L L1,800
676120610554842b3d9c1903,MCA Pavilion M L1,800
676120610554842b3d9c1906,Vithal Divecha Pavilion A L3,750
676120610554842b3d9c1909,Vithal Divecha Pavilion B L3,800
676120610554842b3d9c190c,Vithal Divecha Pavilion C L3,750
676120620554842b3d9c190f,Vithal Divecha Pavilion D L2,300
676120620554842b3d9c1912,Vithal Divecha Pavilion E L2,400
676120620554842b3d9c1915,Vithal Divecha Pavilion F L2,300
676120620554842b3d9c1918,Vithal Divecha Pavilion G L1,750
676120620554842b3d9c191b,Vithal Divecha Pavilion H L1,700
676120630554842b3d9c191e,Vithal Divecha Pavilion I L1,750
676120630554842b3d9c1921,Sunil Gavaskar Pavilion A Block L2,600
676120630554842b3d9c1924,Sunil Gavaskar Pavilion B Block L2,500
676120630554842b3d9c1927,Sunil Gavaskar Pavilion C Block L2,400
676120630554842b3d9c192a,Sunil Gavaskar Pavilion D Block L2,400
676120640554842b3d9c192d,Sunil Gavaskar Pavilion E Block L2,400
676120640554842b3d9c1930,Sunil Gavaskar Pavilion F Block L2,550
676120640554842b3d9c1933,Sunil Gavaskar Pavilion G Block L1,950
676120640554842b3d9c1936,Sunil Gavaskar Pavilion H Block L1,700
676120640554842b3d9c1939,Sunil Gavaskar Pavilion I Block L1,700
676120650554842b3d9c193c,Sunil Gavaskar Pavilion J Block L1,700
676120650554842b3d9c193f,Sunil Gavaskar Pavilion K Block L1,800
676120650554842b3d9c1942,Sunil Gavaskar Pavilion L Block L1,1000
676120650554842b3d9c1945,Sachin Tendulkar Stand A Block L3,1000
676120650554842b3d9c1948,Sachin Tendulkar Stand B Block L3,800
676120660554842b3d9c194b,Sachin Tendulkar Stand C Block L3,800
676120660554842b3d9c194e,Sachin Tendulkar Stand D BLock L3,800
676120660554842b3d9c1951,Sachin Tendulkar Stand E Block L3,800
